d,Emily,What A Waster,Adam Green,,,
d,Full Of Fire,Could I Be The One,Al Green,,,
d,Guilty,Let Me Help You,Al Green,,,
d,I'm Still In Love With You,Old Time Lovin',Al Green,,,
d,Tighten Up,I Can't Stop Dancing,Archie Bell & The Drells,,,
d,(You Make Me Feel Like) A Natural Woman,"Baby, Baby, Baby",Aretha Franklin,,,
d,Angel,Sister From Texas,Aretha Franklin,,,
d,I Never Loved A Man (The Way I Love You),Do Right Woman - Do Right Man,Aretha Franklin,,,
d,Let It Be,Don't Play That Song,Aretha Franklin,,,
d,Tèssassatègn Eko,Ayalqem Tèdènqo,Bahta Gèbrè-Heywèt,Alèmayèhu Eshèté,,
d,Let The Music Play,Let The Music Play (Instrumental)       ,Barry White,,,
d,Too Much Heaven,Rest Your Love On Me,Bee Gees,,,
d,Bird Of The World,I May Never Know,Bill Fox,,,
d,Don't Ask Me Why,C'était Toi (You Were The One),Billy Joel,,,
d,Just A Friend (LP Version),Just A Friend (Instrumental),Biz Markie,,,
d,Lay Lady Lay,I Threw It All Away,Bob Dylan,,,
d,Like A Rolling Stone,Rainy Day Women #12 & 35,Bob Dylan,,,
d,Night Moves,Mainstreet,Bob Seger,,,
d,Coming Down From Love,Open Your Eyes,Bobby Caldwell,,,
d,Tossin' An' Turnin',Oh Yes I Love You,Bobby Lewis,,,
d,Dancing In The Dark,Pink Cadillac,Bruce Springsteen,,,
d,Love You More,Noise Annoys,Buzzcocks,,,
d,Give Me Just A Little More Time,Since The Days Of Pigtails (And Fairy Tales)       ,Chairmen Of The Board,,,
d,Have You Seen Her,Yes I'm Ready (If I Don't Get To Go),Chi-Lites,,,
d,Reelin' And Rockin',Let's Boogie,Chuck Berry,,,
d,The Feeling Is Right,You Can't Miss What You Can't Measure,Clarence Carter,,,
d,Radar Detector,Lights On,Darwin Deez,,,
d,Hot Spit / Mutt-Feast,Yamanba,Diarrhea Planet,,,
d,C.R.E.A.M,Glaciers Of Ice,El Michels Affair,,,
d,I Want To Know What Love Is,Street Thunder,Foreigner,,,
d,Walk Away Renee,Your Love Is Wonderful,Four Tops,,,
d,1-2-3,1-2-3 (Instrumental),Gloria Estefan And Miami Sound Machine,,,
d,Reet Petite (The Sweetest Girl In Town),You Brought About A Change In Me / I'm The One To Do It,Jackie Wilson,,,
d,Mercedes Benz,Cry Baby,Janis Joplin,,,
d,Love Transfusion,Passion And Pride,Joe Carson,,,
d,Understand Your Man,Dark As A Dungeon,Johnny Cash,,,
d,That's All We Need At Our Party,Sad Trumpets Of Afternoon,Jonathan Richman & Tommy Larkins,,,
d,La Javanaise / Jolie Môme,Les Canotiers / Chandernagor,Juliette Gréco,,,
d,Running Up That Hill,Under The Ivy,Kate Bush,,,
d,Deuces Wild,The Sweeper,Link Wray And His Ray Men,,,
d,Rock 'Til The End Of Time,I've Got A Woman,Little Johnny And The Silvertones,,,
d,Deer Knives,Tangiers,Lower Dens,,,
